club,value,revenue,attendance,payroll,color
Altanta United FC,0.9,95,807947,21257396,#A32035
Austin FC,0.75,87,352546,19922021,#00B140
CF Montreal,0.43,40,298376,10511926,#162E51
Charlotte FC,0.69,80,617729,13473928,#1A85C8
Chicago Fire FC,0.515,45,308885,19515479,#FF0000
Colorado Rapids,0.4,38,261953,13106961,#7DA7D9
Columbus Crew,0.64,61,345338,16060111,#FEDD00
D.C. United,0.775,85,298185,20016591,#EF3E42
FC Cincinnati,0.65,81,431238,15087380,#F05323
FC Dallas,0.5,45,310065,14399519,#2A4076
Houston Dynamo FC,0.53,45,255495,17252231,#FF6B00
Inter Miami CF,1.03,118,295149,18055548,#F7B5CD
LA Galaxy,0.95,95,409794,23463025,#0065A4
Los Angeles FC,1.2,140,376643,17483012,#C39E6D
Minnesota United FC,0.6,62,332659,12285685,#8CD2F4
Nashville SC,0.57,57,480370,13976528,#D4AF37
New England Revolution,0.52,45,406981,18909273,#CE0E2D
New York City FC,0.85,70,334443,15448629,#5CA0E8
New York Red Bulls,0.56,56,310190,11163066,#ED1E36
Orlando City SC,0.475,46,350023,11227559,#633492
Philadelphia Union,0.67,69,321425,12804172,#071B2C
Portland Timbers,0.66,67,392744,14449409,#00482B
Real Salt Lake,0.485,47,330290,12138719,#86001B
San Diego FC,0,0,0,0,#F89E1A
San Jose Earthquakes,0.505,49,313003,13022374,#0067B1
Seattle Sounders FC,0.785,75,546744,18947463,#5D9741
Sporting Kansas City,0.63,65,316474,15454335,#729FCF
St. Louis SC,0.68,70,381191,10933074,#E40066
Toronto FC,0.725,69,430263,25741930,#B81137
Vancouver Whitecaps FC,0.42,25,284661,12746625,#9DC2EA
