player,jersey,club,position,games_played,games_started,minutes,goals,assists,scoring_attempts,passes,pass_attempts,clean_sheet,goals_against,goals_saved
Luis Abram,44,ATL,Defender,19,11,1095,0,0,6,620,694,0,0,0
Thiago Almada,10,ATL,Midfielder,17,16,1393,6,2,56,808,958,0,0,0
Pedro Amador,18,ATL,Defender,9,9,809,0,4,8,316,388,0,0,0
Luke Brennan,20,ATL,Midfielder,7,0,147,0,0,2,21,24,0,0,0
Alan Carleton,x,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Erik Centeno,52,ATL,Forward,0,0,0,0,0,0,0,0,0,0,0
Noah Cobb,24,ATL,Defender,19,16,1353,0,0,2,623,733,0,0,0
Josh Cohen,22,ATL,Goalkeeper,3,2,208,0,0,0,57,70,0,5,6
Matthew Edwards,47,ATL,Defender,1,0,1,0,0,1,1,1,0,0,0
Derrick Etienne Jr.,x,ATL,Midfielder,2,0,25,0,0,1,3,6,0,0,0
Nick Firmino,30,ATL,Midfielder,8,2,162,0,0,2,43,49,0,0,0
Ajani Fortune,35,ATL,Midfielder,27,13,1298,1,2,14,560,636,0,0,0
Matias Gallardo,55,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Giorgos Giakoumakis,x,ATL,Forward,11,8,723,5,2,39,99,127,0,0,0
Ashton Gordon,27,ATL,Forward,0,0,0,0,0,0,0,0,0,0,0
Stian Gregersen,5,ATL,Defender,23,20,1765,2,0,13,795,899,0,0,0
Brad Guzan,1,ATL,Goalkeeper,32,32,2850,0,1,0,793,1074,6,44,113
Ronald Hernández,2,ATL,Defender,13,7,708,0,1,10,310,359,0,0,0
Brooks Lennon,11,ATL,Defender,33,33,2957,0,8,7,1163,1370,0,0,0
Saba Lobjanidze,9,ATL,Midfielder,30,29,2467,9,7,82,499,630,0,0,0
Dax McCarty,13,ATL,Midfielder,22,10,911,0,1,8,494,566,0,0,0
Aiden McFadden,14,ATL,Defender,0,0,0,0,0,0,0,0,0,0,0
Alexey Miranchuk,59,ATL,Midfielder,9,8,747,3,1,18,252,305,0,0,0
Efrain Morales,21,ATL,Defender,4,3,243,0,0,2,140,160,0,0,0
Edwin Mosquera,70,ATL,Midfielder,22,5,614,1,2,19,177,230,0,0,0
Tristan Muyumba,8,ATL,Midfielder,30,25,2124,0,2,28,1082,1196,0,0,0
Daniel Ríos,x,ATL,x,x,x,x,x,x,x,x,x,0,0,0
Miles Robinson,x,ATL,Defender,0,0,0,0,0,0,0,0,0,0,0
Xande Silva,16,ATL,Midfielder,23,17,1459,2,3,43,401,465,0,0,0
Bartosz Slisz,99,ATL,Midfielder,28,27,2403,1,1,23,1251,1401,0,0,0
Santiago Sosa,x,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Jamal Thiaré,14,ATL,Forward,25,12,1144,6,0,28,98,130,0,0,0
Adyn Torres,23,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Quentin Westberg,x,ATL,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0
Caleb Wiley,26,ATL,Defender,21,21,1885,1,1,8,774,912,0,0,0
Derrick Williams,3,ATL,Defender,27,26,2265,0,1,20,1122,1278,0,0,0
Jacob Williams,75,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Tyler Wolff,x,ATL,Midfielder,18,6,477,1,0,10,143,167,0,0,0
