player,jersey,club,position,games_played,games_started,minutes,goals,assists,scoring_attempts,passes,pass_attempts,clean_sheet,goals_against,goals_saved,photo
Leo Afonso,22,MIA,Forward,11,1,240,2,0,5,66,90,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/pwxvelni7lzblqqnbapz.png
Jordi Alba,18,MIA,Defender,28,24,2231,4,14,17,1412,1686,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/yf3x1yeozjm6arfqxlwu.png
Noah Allen,32,MIA,Defender,18,8,918,0,0,1,600,679,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/vf75pj8wthvnsiwensgp.png
Dixon Arroyo,3,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/prd-league/atdr4pmulinn3g124340.png
Tomas Aviles,6,MIA,Defender,27,26,2207,0,1,9,1591,1730,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/rcewjuv9nt8bdt7cefke.png
Edison Azcona,28,MIA,Forward,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/srfbdljzx4bf2klj57ov.png
Israel Boatwright,62,MIA,Defender,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/m9iyjrevzqlqf8lf4uov.png
Shanyder Borgelin,49,MIA,Forward,6,1,133,0,0,4,15,27,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/gaefhp9yfrrxax70ww4e.png
Yannick Bright,42,MIA,Midfielder,23,14,1403,0,3,3,676,773,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/s7hfdgrv2f8d4mhqhigd.png
Sergio Busquets,5,MIA,Midfielder,30,27,2484,1,7,3,1902,2097,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/uzuntdqtud3jzmpdyjkq.png
Drake Callender,1,MIA,Goalkeeper,32,32,2880,0,0,0,741,942,5,45,104,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/qeqz1fjk6dn1xfjxzs7w.png
