player,jersey,club,position,games_played,games_started,minutes,goals,assists,scoring_attempts,passes,pass_attempts,clean_sheet,goals_against,goals_saved
Leo Afonso,22,MIA,Forward,11,1,240,2,0,5,66,90,0,0,0
Jordi Alba,18,MIA,Defender,28,24,2231,4,14,17,1412,1686,0,0,0
Noah Allen,32,MIA,Defender,18,8,918,0,0,1,600,679,0,0,0
Dixon Arroyo,3,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Tomas Aviles,6,MIA,Defender,27,26,2207,0,1,9,1591,1730,0,0,0
Edison Azcona,28,MIA,Forward,0,0,0,0,0,0,0,0,0,0,0
Israel Boatwright,62,MIA,Defender,0,0,0,0,0,0,0,0,0,0,0
Shanyder Borgelin,49,MIA,Forward,6,1,133,0,0,4,15,27,0,0,0
Yannick Bright,42,MIA,Midfielder,23,14,1403,0,3,3,676,773,0,0,0
Sergio Busquets,5,MIA,Midfielder,30,27,2484,1,7,3,1902,2097,0,0,0
Drake Callender,1,MIA,Goalkeeper,32,32,2880,0,0,0,741,942,5,45,104
Leo Campana,x,MIA,Forward,28,14,1275,8,3,36,292,362,0,0,0
Ryan Carmichael,x,MIA,Forward,0,0,0,0,0,0,0,0,0,0,0
Jose Casas de Abadal,82,MIA,Midfielder,2,0,29,0,0,0,23,26,0,0,0
Benjamin Cremaschi,30,MIA,Midfielder,22,12,1139,4,3,18,540,603,0,0,0
Gregore de Magalhães da Silva,26,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0
CJ dos Santos,x,MIA,Goalkeeper,1,1,90,0,0,0,30,34,0,4,2
Facundo Farías,11,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Ian Fray,17,MIA,Defender,14,7,653,2,0,6,267,313,0,0,0
Nicolás Freire,21,MIA,Defender,10,9,740,0,0,1,637,692,0,0,0
Diego Gómez,20,MIA,Midfielder,19,15,1359,3,7,22,503,596,0,0,0
Julian Gressel,24,MIA,Defender,32,31,2366,1,12,31,904,1071,0,0,0
Tyler Hall,26,MIA,Defender,0,0,0,0,0,0,0,0,0,0,0
Corentin Jean,14,MIA,Forward,0,0,0,0,0,0,0,0,0,0,0
Cole Jensen,99,MIA,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0
Cameron Johnson,x,MIA,Forward,0,0,0,0,0,0,0,0,0,0,0
Sergii Kryvtsov,27,MIA,Defender,23,16,1388,1,0,3,966,1036,0,0,0
David Martínez,14,MIA,Defender,4,4,282,0,1,0,178,210,0,0,0
Christopher McVey,x,MIA,Defender,0,0,0,0,0,0,0,0,0,0,0
Lucas Meek,x,MIA,x,0,0,0,0,0,0,0,0,0,0,0
Lionel Messi,10,MIA,Forward,19,15,1485,20,16,84,697,862,0,0,0
Kamal Miller,x,MIA,Defender,0,0,0,0,0,0,0,0,0,0,0
Ricardo Montenegro,69,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Santiago Morales,81,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Jean Mota,x,MIA,x,2,0,24,0,0,0,14,14,0,0,0
Franco Negri,x,MIA,Defender,11,9,791,0,1,2,342,4046,0,0,0
Harvey Neville,x,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Federico Redondo,55,MIA,Midfielder,16,14,1121,2,3,10,761,843,0,0,0
Robbie Robinson,19,MIA,Forward,0,0,0,0,0,0,0,0,0,0,0
Emerson Rodríguez,25,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Matías Rojas,7,MIA,Midfielder,14,9,804,5,3,18,325,390,0,0,0
David Ruiz,41,MIA,Midfielder,28,11,1075,17,3,12,505,578,0,0,0
Ryan Sailor,15,MIA,Defender,9,2,310,7,0,1,169,190,0,0,0
Stefanelli,x,MIA,x,0,0,0,0,0,0,0,0,0,0,0
Luis Suárez,9,MIA,Forward,27,21,1920,6,9,77,512,666,0,0,0
Lawson Sunderland,43,MIA,Midfielder,5,3,192,2,1,1,99,105,0,0,0
Robert Taylor,16,MIA,Midfielder,27,22,1660,5,5,26,486,583,0,0,0
Víctor Ulloa,13,MIA,Midfielder,0,0,0,0,0,0,0,0,0,0,0
Oscar Ustari,19,MIA,Goalkeeper,1,1,90,0,0,0,38,43,1,0,7
Marcelo Weigandt,57,MIA,Defender,23,22,1997,1,3,18,827,954,0,0,0
DeAndre Yedlin,x,MIA,Defender,3,3,270,0,0,0,98,113,0,0,0
