player,jersey,club,position,games_played,games_started,minutes,goals,assists,scoring_attempts,passes,pass_attempts,clean_sheet,goals_against,goals_saved,photo
Iván Angulo,77,ORL,Forward,34,34,2772,5,10,34,1063,1226,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/lhihfg1vq4ox9y6z2eeq.png
César Araújo,5,ORL,Midfielder,30,28,2424,1,1,25,1299,1447,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/i39sepmwcccgydmef33g.png
David Brekalo,4,ORL,Defender,19,12,1128,1,0,9,527,618,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/buv41mtkjanbqr6u2s3c.png
Heine Bruseth, ,ORL,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1614970757/assets/logos/6900-orlando-logo_tfcjmq.png
Wilder Cartagena,16,ORL,Midfielder,27,25,2192,0,1,24,1190,1337,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/fefanxfyno951nb9ahyo.png
Ramiro Enrique,7,ORL,Forward,20,12,1082,8,2,37,188,241,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/c1xta88tusempewos1pk.png
Alex Freeman,30,ORL,Defender,2,0,9,0,1,1,10,10,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/kmazvizol963yicp2iow.png
Pedro Gallese,1,ORL,Goalkeeper,29,29,2619,0,1,0,439,614,8,39,72,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/fymnjr6bbals7ivhj6ch.png
Gaston Gonzalez,22,ORL,Forward,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/prd-league/kz8e9zdjhscszkjrejyx.png
Adam Grinwis, ,ORL,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1614970757/assets/logos/6900-orlando-logo_tfcjmq.png
Colin Guske,25,ORL,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/h9zeudfghomzfqa5qf3q.png
Michael Halliday, ,ORL,Defender,6,0,105,0,0,3,34,45,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1614970757/assets/logos/6900-orlando-logo_tfcjmq.png
Robin Jansson,6,ORL,Defender,30,30,2662,1,1,7,1476,1691,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/tkyut5jbeodpe7lkpp1y.png
Jeorgio Kocevski,33,ORL,Midfielder,11,1,154,0,0,0,80,92,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/kznsscht9iobwnwrziyx.png
Nicolás Lodeiro, ,ORL,Midfielder,34,16,1697,1,11,36,1215,1389,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1614970757/assets/logos/6900-orlando-logo_tfcjmq.png
Favian Loyola,95,ORL,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/hvbjgj08sd0svwe3evea.png
Jack Lynn,27,ORL,Forward,11,2,253,2,0,6,44,66,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/k51alzbnowfdwccgthcr.png
Felipe Martins,8,ORL,Midfielder,14,4,348,0,0,3,182,206,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/gycqck69jb9klp4jxlcw.png
Duncan McGuire,13,ORL,Forward,27,18,1599,10,3,42,239,314,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/aozl1aaeb2kgqkncmhew.png
Carlos Mercado,99,ORL,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/inbr9lqw1eqtstgzaw54.png
Shakur Mohammed,23,ORL,Midfielder,2,0,4,0,0,0,4,4,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/v0ibuabqvnctuhij2zep.png
Luis Muriel,9,ORL,Forward,33,14,1582,5,7,55,533,656,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/u4ljbmdvmadffezbz82e.png
Martín Ojeda,10,ORL,Midfielder,34,24,1914,4,12,61,740,876,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/svppts89j1u1appoek5j.png
Javier Otero,12,ORL,Goalkeeper,1,0,61,0,0,0,14,17,0,3,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/xecabbazu4gdhyrhg2b7.png
